Bornholdt baseline run (lattice or network)
params: {'topology': 'lattice', 'L': 32, 'n': None, 'net_params': {'m': 2, 'k': 4, 'p': 0.1}, 'J': 1.0, 'alpha': 8.0, 'T': 1.5, 'seed': 0, 'n_steps': 20000, 'burn_in': 10000, 'thin': 1, 'eps': 1e-06}
columns: t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
1.001300000000000000e+04,5.078125000000000000e-02,-1.430982180479043464e-01,1.430982180479043464e-01,5.078125000000000000e-02,4.746093750000000000e-01,5.253906250000000000e-01
1.001400000000000000e+04,8.789062500000000000e-02,5.485576373480873791e-01,5.485576373480873791e-01,8.789062500000000000e-02,4.560546875000000000e-01,5.439453125000000000e-01
1.001500000000000000e+04,6.054687500000000000e-02,-3.726701470055822085e-01,3.726701470055822085e-01,6.054687500000000000e-02,4.697265625000000000e-01,5.302734375000000000e-01
1.001600000000000000e+04,4.687500000000000000e-02,-2.559285570240619201e-01,2.559285570240619201e-01,4.687500000000000000e-02,4.765625000000000000e-01,5.234375000000000000e-01
1.001700000000000000e+04,9.375000000000000000e-02,6.931365140639420552e-01,6.931365140639420552e-01,9.375000000000000000e-02,4.531250000000000000e-01,5.468750000000000000e-01
1.001800000000000000e+04,5.859375000000000000e-02,-4.699972293344809593e-01,4.699972293344809593e-01,5.859375000000000000e-02,4.707031250000000000e-01,5.292968750000000000e-01
1.001900000000000000e+04,7.812500000000000000e-02,2.876778058488289602e-01,2.876778058488289602e-01,7.812500000000000000e-02,4.609375000000000000e-01,5.390625000000000000e-01
1.002000000000000000e+04,5.468750000000000000e-02,-3.566694583097089755e-01,3.566694583097089755e-01,5.468750000000000000e-02,4.726562500000000000e-01,5.273437500000000000e-01
1.002100000000000000e+04,5.664062500000000000e-02,3.509068928072922589e-02,3.509068928072922589e-02,5.664062500000000000e-02,4.716796875000000000e-01,5.283203125000000000e-01
1.002200000000000000e+04,5.468750000000000000e-02,-3.509068928072922589e-02,3.509068928072922589e-02,5.468750000000000000e-02,4.726562500000000000e-01,5.273437500000000000e-01
1.002300000000000000e+04,6.445312500000000000e-02,1.643002807753286554e-01,1.643002807753286554e-01,6.445312500000000000e-02,4.677734375000000000e-01,5.322265625000000000e-01
1.002400000000000000e+04,1.132812500000000000e-01,5.639287615960268951e-01,5.639287615960268951e-01,1.132812500000000000e-01,4.433593750000000000e-01,5.566406250000000000e-01
1.002500000000000000e+04,7.226562500000000000e-02,-4.495200877073433077e-01,4.495200877073433077e-01,7.226562500000000000e-02,4.638671875000000000e-01,5.361328125000000000e-01
1.002600000000000000e+04,5.078125000000000000e-02,-3.528155202510365740e-01,3.528155202510365740e-01,5.078125000000000000e-02,4.746093750000000000e-01,5.253906250000000000e-01
1.002700000000000000e+04,8.398437500000000000e-02,5.030957924641357160e-01,5.030957924641357160e-01,8.398437500000000000e-02,4.580078125000000000e-01,5.419921875000000000e-01
