t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
1000,-0.248046875,nan,nan,0.248046875,0.3759765625,0.6240234375
1001,-0.275390625,0.10457240363072118,0.10457240363072118,0.275390625,0.3623046875,0.6376953125
1002,-0.283203125,0.027973751871573915,0.027973751871573915,0.283203125,0.3583984375,0.6416015625
1003,-0.21875,-0.258233830735606,0.258233830735606,0.21875,0.390625,0.609375
1004,-0.2734375,0.22314263703225712,0.22314263703225712,0.2734375,0.36328125,0.63671875
1005,-0.228515625,-0.1794677688889168,0.1794677688889168,0.228515625,0.3857421875,0.6142578125
1006,-0.244140625,0.06613952243735532,0.06613952243735532,0.244140625,0.3779296875,0.6220703125
1007,-0.291015625,0.17563190888725333,0.17563190888725333,0.291015625,0.3544921875,0.6455078125
1008,-0.25,-0.15191547826954888,0.15191547826954888,0.25,0.375,0.625
1009,-0.265625,0.06062438652323077,0.06062438652323077,0.265625,0.3671875,0.6328125
1010,-0.212890625,-0.22130607096902977,0.22130607096902977,0.212890625,0.3935546875,0.6064453125
1011,-0.287109375,0.2990834903000499,0.2990834903000499,0.287109375,0.3564453125,0.6435546875
1012,-0.279296875,-0.027587859092790046,0.027587859092790046,0.279296875,0.3603515625,0.6396484375
1013,-0.234375,-0.1753522012334674,0.1753522012334674,0.234375,0.3828125,0.6171875
1014,-0.26171875,0.11034761139952365,0.11034761139952365,0.26171875,0.369140625,0.630859375
1015,-0.240234375,-0.08565510287375422,0.08565510287375422,0.240234375,0.3798828125,0.6201171875
1016,-0.208984375,-0.13935489846819316,0.13935489846819316,0.208984375,0.3955078125,0.6044921875
1017,-0.31640625,0.41476587622403005,0.41476587622403005,0.31640625,0.341796875,0.658203125
1018,-0.189453125,-0.512883238881249,0.512883238881249,0.189453125,0.4052734375,0.5947265625
1019,-0.310546875,0.49419116550086506,0.49419116550086506,0.310546875,0.3447265625,0.6552734375
1020,-0.224609375,-0.3239708418135807,0.3239708418135807,0.224609375,0.3876953125,0.6123046875
1021,-0.30078125,0.2920193465561749,0.2920193465561749,0.30078125,0.349609375,0.650390625
1022,-0.2421875,-0.21667023245465655,0.21667023245465655,0.2421875,0.37890625,0.62109375
1023,-0.279296875,0.14256251604430736,0.14256251604430736,0.279296875,0.3603515625,0.6396484375
1024,-0.265625,-0.05018956023823007,0.05018956023823007,0.265625,0.3671875,0.6328125
1025,-0.23046875,-0.14196968699554557,0.14196968699554557,0.23046875,0.384765625,0.615234375
1026,-0.2734375,0.17095711630617183,0.17095711630617183,0.2734375,0.36328125,0.63671875
1027,-0.2421875,-0.12136038511670355,0.12136038511670355,0.2421875,0.37890625,0.62109375
1028,-0.275390625,0.12847782694847854,0.12847782694847854,0.275390625,0.3623046875,0.6376953125
1029,-0.265625,-0.03610487114240124,0.03610487114240124,0.265625,0.3671875,0.6328125
1030,-0.271484375,0.02181896614229739,0.02181896614229739,0.271484375,0.3642578125,0.6357421875
1031,-0.208984375,-0.26164399707995845,0.26164399707995845,0.208984375,0.3955078125,0.6044921875
1032,-0.302734375,0.3705948006424107,0.3705948006424107,0.302734375,0.3486328125,0.6513671875
1033,-0.25390625,-0.1758900312302325,0.1758900312302325,0.25390625,0.373046875,0.626953125
1034,-0.271484375,0.06693922766778027,0.06693922766778027,0.271484375,0.3642578125,0.6357421875
1035,-0.25390625,-0.06693922766778027,0.06693922766778027,0.25390625,0.373046875,0.626953125
1036,-0.236328125,-0.07174361191661749,0.07174361191661749,0.236328125,0.3818359375,0.6181640625
1037,-0.251953125,0.06402159635329618,0.06402159635329618,0.251953125,0.3740234375,0.6259765625
1038,-0.259765625,0.030536604492360286,0.030536604492360286,0.259765625,0.3701171875,0.6298828125
1039,-0.25,-0.038318713926786874,0.038318713926786874,0.25,0.375,0.625
1040,-0.232421875,-0.07290646828833514,0.07290646828833514,0.232421875,0.3837890625,0.6162109375
1041,-0.2734375,0.16251828412219216,0.16251828412219216,0.2734375,0.36328125,0.63671875
1042,-0.21484375,-0.24116105941843569,0.24116105941843569,0.21484375,0.392578125,0.607421875
1043,-0.2890625,0.2967307128905521,0.2967307128905521,0.2890625,0.35546875,0.64453125
1044,-0.216796875,-0.2876809193032819,0.2876809193032819,0.216796875,0.3916015625,0.6083984375
1045,-0.2265625,0.04405979097541879,0.04405979097541879,0.2265625,0.38671875,0.61328125
1046,-0.25,0.09843965902188967,0.09843965902188967,0.25,0.375,0.625
1047,-0.265625,0.06062438652323077,0.06062438652323077,0.265625,0.3671875,0.6328125
1048,-0.259765625,-0.022305672596443893,0.022305672596443893,0.259765625,0.3701171875,0.6298828125
1049,-0.23046875,-0.11966401439910168,0.11966401439910168,0.23046875,0.384765625,0.615234375
1050,-0.267578125,0.1492956996081165,0.1492956996081165,0.267578125,0.3662109375,0.6337890625
1051,-0.2421875,-0.09969896841864823,0.09969896841864823,0.2421875,0.37890625,0.62109375
1052,-0.306640625,0.2359633718607168,0.2359633718607168,0.306640625,0.3466796875,0.6533203125
1053,-0.208984375,-0.38341544699230057,0.38341544699230057,0.208984375,0.3955078125,0.6044921875
1054,-0.28515625,0.31077650905431575,0.31077650905431575,0.28515625,0.357421875,0.642578125
1055,-0.2421875,-0.163324433922732,0.163324433922732,0.2421875,0.37890625,0.62109375
1056,-0.234375,-0.032789685189160034,0.032789685189160034,0.234375,0.3828125,0.6171875
1057,-0.26953125,0.13976138585563902,0.13976138585563902,0.26953125,0.365234375,0.634765625
1058,-0.267578125,-0.00727273224783076,0.00727273224783076,0.267578125,0.3662109375,0.6337890625
1059,-0.26953125,0.00727273224783076,0.00727273224783076,0.26953125,0.365234375,0.634765625
1060,-0.24609375,-0.09097142485996401,0.09097142485996401,0.24609375,0.376953125,0.623046875
