t_M,M,C_mean,t_r,r,abs_r
138,-0.23828125,0.23828125,138,0.14473828013148715,0.14473828013148715
139,-0.275390625,0.275390625,139,-0.043484950553418944,0.043484950553418944
140,-0.263671875,0.263671875,140,-0.1261507754005482,0.1261507754005482
141,-0.232421875,0.232421875,141,0.19760947782554106,0.19760947782554106
142,-0.283203125,0.283203125,142,-0.042259656871677764,0.042259656871677764
143,-0.271484375,0.271484375,143,0.042259656871677764,0.042259656871677764
144,-0.283203125,0.283203125,144,-0.027973751871573915,0.027973751871573915
145,-0.275390625,0.275390625,145,-0.08122513266788411,0.08122513266788411
146,-0.25390625,0.25390625,146,0.015267412457362184,0.015267412457362184
147,-0.2578125,0.2578125,147,0.0730248618618361,0.0730248618618361
148,-0.27734375,0.27734375,148,-0.05055209220473311,0.05055209220473311
149,-0.263671875,0.263671875,149,0.15097049546565722,0.15097049546565722
150,-0.306640625,0.306640625,150,0.14776043377016412,0.14776043377016412
151,-0.35546875,0.35546875,151,0.0271018545591013,0.0271018545591013
152,-0.365234375,0.365234375,152,0.026386683872139827,0.026386683872139827
153,-0.375,0.375,153,-0.12759629418660956,0.12759629418660956
154,-0.330078125,0.330078125,154,-0.005934717486620444,0.005934717486620444
155,-0.328125,0.328125,155,-0.08053860687806513,0.08053860687806513
156,-0.302734375,0.302734375,156,-0.05299235037372951,0.05299235037372951
157,-0.287109375,0.287109375,157,0.10943348000467656,0.10943348000467656
158,-0.3203125,0.3203125,158,-0.012270054049327683,0.012270054049327683
159,-0.31640625,0.31640625,159,-0.09716342595534888,0.09716342595534888
160,-0.287109375,0.287109375,160,0.12756080851445084,0.12756080851445084
161,-0.326171875,0.326171875,161,-0.1763507985348447,0.1763507985348447
162,-0.2734375,0.2734375,162,-0.028987429310626256,0.028987429310626256
163,-0.265625,0.265625,163,-0.12516264099523733,0.12516264099523733
164,-0.234375,0.234375,164,0.11034761139952365,0.11034761139952365
165,-0.26171875,0.26171875,165,-0.05365250289260626,0.05365250289260626
166,-0.248046875,0.248046875,166,-0.18074719365744674,0.18074719365744674
167,-0.20703125,0.20703125,167,0.14058131715668076,0.14058131715668076
168,-0.23828125,0.23828125,168,0.17271203200306107,0.17271203200306107
169,-0.283203125,0.283203125,169,0.0984397417798839,0.0984397417798839
170,-0.3125,0.3125,170,0.006230529874923008,0.006230529874923008
171,-0.314453125,0.314453125,171,-0.05096627731156489,0.05096627731156489
172,-0.298828125,0.298828125,172,0.08755561048825378,0.08755561048825378
173,-0.326171875,0.326171875,173,-0.09411298901866294,0.09411298901866294
174,-0.296875,0.296875,174,-0.019934147080489906,0.019934147080489906
175,-0.291015625,0.291015625,175,-0.006734008963575455,0.006734008963575455
176,-0.2890625,0.2890625,176,-0.048452211640341414,0.048452211640341414
177,-0.275390625,0.275390625,177,-0.10457240363072118,0.10457240363072118
178,-0.248046875,0.248046875,178,0.1256257371787073,0.1256257371787073
179,-0.28125,0.28125,179,0.054067034136420666,0.054067034136420666
180,-0.296875,0.296875,180,0.006557378530409164,0.006557378530409164
181,-0.298828125,0.298828125,181,0.06331207411405848,0.06331207411405848
182,-0.318359375,0.318359375,182,-0.0567974148226964,0.0567974148226964
183,-0.30078125,0.30078125,183,-0.10247831050628187,0.10247831050628187
184,-0.271484375,0.271484375,184,-0.16378865313784297,0.16378865313784297
185,-0.23046875,0.23046875,185,0.02510581355344521,0.02510581355344521
186,-0.236328125,0.236328125,186,0.04049119344253804,0.04049119344253804
187,-0.24609375,0.24609375,187,0.15415009933058244,0.15415009933058244
188,-0.287109375,0.287109375,188,-0.1152348381754078,0.1152348381754078
189,-0.255859375,0.255859375,189,0.09461562353477504,0.09461562353477504
190,-0.28125,0.28125,190,-0.14149902183132257,0.14149902183132257
191,-0.244140625,0.244140625,191,0.17563190888725333,0.17563190888725333
192,-0.291015625,0.291015625,192,-0.05518622060391687,0.05518622060391687
193,-0.275390625,0.275390625,193,0.19290302907297496,0.19290302907297496
194,-0.333984375,0.333984375,194,-0.17881833997714613,0.17881833997714613
195,-0.279296875,0.279296875,195,-0.1265622402377924,0.1265622402377924
196,-0.24609375,0.24609375,196,0.04651983093144163,0.04651983093144163
197,-0.2578125,0.2578125,197,-0.02298942802068349,0.02298942802068349
198,-0.251953125,0.251953125,198,0.045462197677786476,0.045462197677786476
199,-0.263671875,0.263671875,199,-0.08499287639505959,0.08499287639505959
200,-0.2421875,0.2421875,200,-0.02449091763602307,0.02449091763602307
201,-0.236328125,0.236328125,201,0.048396340953780426,0.048396340953780426
202,-0.248046875,0.248046875,202,-0.007905147511242383,0.007905147511242383
203,-0.24609375,0.24609375,203,0.16766377174588043,0.16766377174588043
204,-0.291015625,0.291015625,204,-0.027212468732342954,0.027212468732342954
205,-0.283203125,0.283203125,205,0.1170160684573005,0.1170160684573005
206,-0.318359375,0.318359375,206,-0.0185763266774166,0.0185763266774166
207,-0.3125,0.3125,207,-0.08474094546283895,0.08474094546283895
208,-0.287109375,0.287109375,208,0.08474094546283895,0.08474094546283895
209,-0.3125,0.3125,209,-0.0779612820111164,0.0779612820111164
210,-0.2890625,0.2890625,210,-0.16092976278230497,0.16092976278230497
211,-0.24609375,0.24609375,211,0.11247755114196356,0.11247755114196356
212,-0.275390625,0.275390625,212,0.06851970596040347,0.06851970596040347
213,-0.294921875,0.294921875,213,0.013158040254412473,0.013158040254412473
214,-0.298828125,0.298828125,214,-0.033225534574474525,0.033225534574474525
215,-0.2890625,0.2890625,215,-0.013605604666087956,0.013605604666087956
216,-0.28515625,0.28515625,216,-0.03484660697425346,0.03484660697425346
217,-0.275390625,0.275390625,217,-0.043484950553418944,0.043484950553418944
218,-0.263671875,0.263671875,218,-0.0930900530584502,0.0930900530584502
219,-0.240234375,0.240234375,219,0.18502721525221055,0.18502721525221055
220,-0.2890625,0.2890625,220,-0.00677966345172254,0.00677966345172254
221,-0.287109375,0.287109375,221,0.02684715777178459,0.02684715777178459
222,-0.294921875,0.294921875,222,-0.013333485356486596,0.013333485356486596
223,-0.291015625,0.291015625,223,0.11404713609915285,0.11404713609915285
224,-0.326171875,0.326171875,224,-0.05539860475227343,0.05539860475227343
225,-0.30859375,0.30859375,225,-0.09975006285496746,0.09975006285496746
226,-0.279296875,0.279296875,226,0.09340085581640944,0.09340085581640944
227,-0.306640625,0.306640625,227,-0.1734432651227602,0.1734432651227602
228,-0.2578125,0.2578125,228,-0.03861468342019925,0.03861468342019925
229,-0.248046875,0.248046875,229,0.20566817134890525,0.20566817134890525
230,-0.3046875,0.3046875,230,0.019048133045399762,0.019048133045399762
231,-0.310546875,0.310546875,231,-0.019048133045399762,0.019048133045399762
232,-0.3046875,0.3046875,232,-0.0940286260668699,0.0940286260668699
233,-0.27734375,0.27734375,233,0.0614525643090893,0.0614525643090893
234,-0.294921875,0.294921875,234,-0.05443501686457464,0.05443501686457464
235,-0.279296875,0.279296875,235,0.061035678588577946,0.061035678588577946
236,-0.296875,0.296875,236,0.019544530877941613,0.019544530877941613
237,-0.302734375,0.302734375,237,-0.00647249305617037,0.00647249305617037
238,-0.30078125,0.30078125,238,0.09294581742085595,0.09294581742085595
239,-0.330078125,0.330078125,239,-0.005934717486620444,0.005934717486620444
240,-0.328125,0.328125,240,-0.18948941044051737,0.18948941044051737
241,-0.271484375,0.271484375,241,-0.17229930572058794,0.17229930572058794
242,-0.228515625,0.228515625,242,0.050010207108822646,0.050010207108822646
243,-0.240234375,0.240234375,243,-0.016393740972632465,0.016393740972632465
244,-0.236328125,0.236328125,244,0.18781535155875506,0.18781535155875506
245,-0.28515625,0.28515625,245,-0.0783315575276724,0.0783315575276724
246,-0.263671875,0.263671875,246,-0.21392599155801206,0.21392599155801206
247,-0.212890625,0.212890625,247,0.044850360146662105,0.044850360146662105
248,-0.22265625,0.22265625,248,-0.06336932011529339,0.06336932011529339
249,-0.208984375,0.208984375,249,0.19470476941217818,0.19470476941217818
250,-0.25390625,0.25390625,250,0.06693922766778027,0.06693922766778027
251,-0.271484375,0.271484375,251,-0.03663399573801107,0.03663399573801107
252,-0.26171875,0.26171875,252,-0.0380272474930905,0.0380272474930905
253,-0.251953125,0.251953125,253,0.0,0.0
254,-0.251953125,0.251953125,254,-0.08068857772276172,0.08068857772276172
255,-0.232421875,0.232421875,255,-0.08777521615746386,0.08777521615746386
256,-0.212890625,0.212890625,256,0.29225754908568446,0.29225754908568446
257,-0.28515625,0.28515625,257,-0.10080432718477539,0.10080432718477539
258,-0.2578125,0.2578125,258,0.167053487928706,0.167053487928706
259,-0.3046875,0.3046875,259,0.012738984232612216,0.012738984232612216
260,-0.30859375,0.30859375,260,0.012578741700661533,0.012578741700661533
261,-0.3125,0.3125,261,0.12883248503094458,0.12883248503094458
262,-0.35546875,0.35546875,262,-0.1414112267316061,0.1414112267316061
263,-0.30859375,0.30859375,263,-0.09975006285496746,0.09975006285496746
264,-0.279296875,0.279296875,264,0.013889062775745087,0.013889062775745087
265,-0.283203125,0.283203125,265,0.12313227632172152,0.12313227632172152
266,-0.3203125,0.3203125,266,0.030032194733738526,0.030032194733738526
267,-0.330078125,0.330078125,267,-0.08647332436468558,0.08647332436468558
268,-0.302734375,0.302734375,268,-0.25593241069998696,0.25593241069998696
269,-0.234375,0.234375,269,0.08770522215084964,0.08770522215084964
270,-0.255859375,0.255859375,270,0.05927638498668508,0.05927638498668508
271,-0.271484375,0.271484375,271,-0.01449295352972646,0.01449295352972646
272,-0.267578125,0.267578125,272,0.01449295352972646,0.01449295352972646
273,-0.271484375,0.271484375,273,-0.02181896614229739,0.02181896614229739
274,-0.265625,0.265625,274,0.24063590359612386,0.24063590359612386
275,-0.337890625,0.337890625,275,-0.12941066476931584,0.12941066476931584
276,-0.296875,0.296875,276,-0.0334478194957879,0.0334478194957879
277,-0.287109375,0.287109375,277,-0.006825941214365416,0.006825941214365416
278,-0.28515625,0.28515625,278,-0.0709514781166547,0.0709514781166547
279,-0.265625,0.265625,279,-0.007380079411017704,0.007380079411017704
280,-0.263671875,0.263671875,280,0.12516269676823488,0.12516269676823488
281,-0.298828125,0.298828125,281,-0.02649152561089907,0.02649152561089907
282,-0.291015625,0.291015625,282,-0.06230366243569185,0.06230366243569185
283,-0.2734375,0.2734375,283,-0.12945756178009415,0.12945756178009415
284,-0.240234375,0.240234375,284,-0.18721068508586391,0.18721068508586391
285,-0.19921875,0.19921875,285,-0.05026157603954817,0.05026157603954817
286,-0.189453125,0.189453125,286,-0.042111258325522316,0.042111258325522316
287,-0.181640625,0.181640625,287,-0.06669099481970742,0.06669099481970742
288,-0.169921875,0.169921875,288,0.12921101814365032,0.12921101814365032
289,-0.193359375,0.193359375,289,0.14981155868886376,0.14981155868886376
290,-0.224609375,0.224609375,290,0.11487979281879146,0.11487979281879146
291,-0.251953125,0.251953125,291,0.11000048177919153,0.11000048177919153
292,-0.28125,0.28125,292,-0.13353088468994967,0.13353088468994967
293,-0.24609375,0.24609375,293,0.031252418474079446,0.031252418474079446
294,-0.25390625,0.25390625,294,0.059719006385884565,0.059719006385884565
295,-0.26953125,0.26953125,295,0.014388684450224565,0.014388684450224565
296,-0.2734375,0.2734375,296,-0.021661416698055325,0.021661416698055325
297,-0.267578125,0.267578125,297,-0.2014812203342018,0.2014812203342018
298,-0.21875,0.21875,298,-0.09352560983370095,0.09352560983370095
299,-0.19921875,0.19921875,299,0.04785578661767076,0.04785578661767076
300,-0.208984375,0.208984375,300,0.11466238994242373,0.11466238994242373
301,-0.234375,0.234375,301,-0.06899256672639353,0.06899256672639353
302,-0.21875,0.21875,302,0.1335308211984001,0.1335308211984001
303,-0.25,0.25,303,-0.12464191423608995,0.12464191423608995
304,-0.220703125,0.220703125,304,0.1998650456197224,0.1998650456197224
305,-0.26953125,0.26953125,305,0.014388684450224565,0.014388684450224565
306,-0.2734375,0.2734375,306,-0.10536010931018858,0.10536010931018858
307,-0.24609375,0.24609375,307,0.21996309605420183,0.21996309605420183
308,-0.306640625,0.306640625,308,0.0,0.0
309,-0.306640625,0.306640625,309,0.01265835585134556,0.01265835585134556
310,-0.310546875,0.310546875,310,0.018692073380383922,0.018692073380383922
311,-0.31640625,0.31640625,311,-0.03135042923172948,0.03135042923172948
312,-0.306640625,0.306640625,312,-0.0323651772278315,0.0323651772278315
313,-0.296875,0.296875,313,-0.061035678588577946,0.061035678588577946
314,-0.279296875,0.279296875,314,-0.10303183732703425,0.10303183732703425
315,-0.251953125,0.251953125,315,-0.15028155943173505,0.15028155943173505
316,-0.216796875,0.216796875,316,-0.17692981539986308,0.17692981539986308
317,-0.181640625,0.181640625,317,0.12136022782166545,0.12136022782166545
318,-0.205078125,0.205078125,318,0.009478697952970183,0.009478697952970183
319,-0.20703125,0.20703125,319,0.1072450391502211,0.1072450391502211
320,-0.23046875,0.23046875,320,-0.08855299558557905,0.08855299558557905
321,-0.2109375,0.2109375,321,-0.13883573879004252,0.13883573879004252
322,-0.18359375,0.18359375,322,0.14805235040213738,0.14805235040213738
323,-0.212890625,0.212890625,323,-0.09622755762742963,0.09622755762742963
324,-0.193359375,0.193359375,324,-0.06252002332394291,0.06252002332394291
325,-0.181640625,0.181640625,325,-0.02173986563979713,0.02173986563979713
326,-0.177734375,0.177734375,326,0.16196848662253838,0.16196848662253838
327,-0.208984375,0.208984375,327,-0.11895133843748495,0.11895133843748495
328,-0.185546875,0.185546875,328,-0.2498102689605488,0.2498102689605488
329,-0.14453125,0.14453125,329,-0.04138492381623293,0.04138492381623293
330,-0.138671875,0.138671875,330,0.14403840286427894,0.14403840286427894
331,-0.16015625,0.16015625,331,0.012121285305071616,0.012121285305071616
332,-0.162109375,0.162109375,332,0.1137582220621749,0.1137582220621749
333,-0.181640625,0.181640625,333,-0.16315066505576747,0.16315066505576747
334,-0.154296875,0.154296875,334,-0.14993909889915247,0.14993909889915247
335,-0.1328125,0.1328125,335,0.04317185372339449,0.04317185372339449
336,-0.138671875,0.138671875,336,-0.3308514163933005,0.3308514163933005
337,-0.099609375,0.099609375,337,-0.0816771766218749,0.0816771766218749
338,-0.091796875,0.091796875,338,0.17520233828275167,0.17520233828275167
339,-0.109375,0.109375,339,-0.11332758817477862,0.11332758817477862
340,-0.09765625,0.09765625,340,-0.4155101688780811,0.4155101688780811
341,-0.064453125,0.064453125,341,0.47377849738518263,0.47377849738518263
342,-0.103515625,0.103515625,342,-0.05826832850710151,0.05826832850710151
343,-0.09765625,0.09765625,343,-0.06187475010797305,0.06187475010797305
344,-0.091796875,0.091796875,344,-0.02150596840580965,0.02150596840580965
345,-0.08984375,0.08984375,345,0.12260103782486542,0.12260103782486542
346,-0.1015625,0.1015625,346,0.19188928865583543,0.19188928865583543
347,-0.123046875,0.123046875,347,0.0,0.0
348,-0.123046875,0.123046875,348,-0.11778201979213954,0.11778201979213954
349,-0.109375,0.109375,349,0.01769941669985231,0.01769941669985231
350,-0.111328125,0.111328125,350,0.1466022493217447,0.1466022493217447
